image_path,skin_tone,foundation,foundation_layer,foundation_ml,lipstick,lipstick_layer,blush,blush_layers,mascara_shade,mascara_layer,concealer,concealer_layer,longevity,risk_level,cost_of_makeup,mode,occasion,weather_type,instruction,luminance_bucket
images/63.jpg,Medium,sand,2,4.0,red,1,soft_blush,2,black,1,natural_concealer,1,12 hrs,medium,1676,occasion,office,normal,"Apply 2 layers (~4.0 ml) of sand foundation, 1 layer of red, 2 layers of soft_blush blush.",0
images/189.jpg,Medium,beige,1,3.0,coral,2,soft_blush,1,black,3,natural_concealer,2,10 hrs,low,2646,simple,normal,normal,"Apply 1 layers (~3.0 ml) of beige foundation, 2 layer of coral, 1 layers of soft_blush blush.",0
images/77.jpg,Medium,sand,2,4.0,red,3,soft_blush,2,black,2,natural_concealer,1,10 hrs,low,2110,simple,normal,normal,"Apply 2 layers (~4.0 ml) of sand foundation, 3 layer of red, 2 layers of soft_blush blush.",0
images/638.jpg,Dark,espresso,2,4.0,plum,1,soft_blush,1,black,2,natural_concealer,1,6 hrs,low,1172,weather,normal,humid,"Apply 2 layers (~4.0 ml) of espresso foundation, 1 layer of plum, 1 layers of soft_blush blush.",0
images/604.jpg,Dark,mocha,2,3.0,wine,3,soft_blush,1,black,3,natural_concealer,1,8 hrs,high,2660,weather,normal,humid,"Apply 2 layers (~3.0 ml) of mocha foundation, 3 layer of wine, 1 layers of soft_blush blush.",0
images/162.jpg,Dark,mocha,3,5.0,wine,2,soft_blush,1,black,1,natural_concealer,2,8 hrs,high,2995,occasion,daily,normal,"Apply 3 layers (~5.0 ml) of mocha foundation, 2 layer of wine, 1 layers of soft_blush blush.",0
images/176.jpg,Medium,sand,3,2.0,red,2,soft_blush,2,black,1,natural_concealer,2,8 hrs,medium,1644,weather,normal,humid,"Apply 3 layers (~2.0 ml) of sand foundation, 2 layer of red, 2 layers of soft_blush blush.",0
images/88.jpg,Medium,beige,1,4.0,red,3,soft_blush,2,black,2,natural_concealer,1,12 hrs,high,2560,simple,normal,normal,"Apply 1 layers (~4.0 ml) of beige foundation, 3 layer of red, 2 layers of soft_blush blush.",0
images/610.jpg,Medium,sand,3,3.0,bold_coral,3,soft_blush,2,black,3,natural_concealer,2,10 hrs,high,2013,occasion,party,normal,"Apply 3 layers (~3.0 ml) of sand foundation, 3 layer of bold_coral, 2 layers of soft_blush blush.",0
images/348.jpg,Medium,matte_beige,1,3.0,nude,3,soft_blush,1,black,3,natural_concealer,2,6 hrs,low,1396,weather,normal,hot,"Apply 1 layers (~3.0 ml) of matte_beige foundation, 3 layer of nude, 1 layers of soft_blush blush.",0
images/360.jpg,Medium,matte_warm_beige,1,3.0,nude,2,soft_blush,2,black,3,natural_concealer,2,8 hrs,low,2799,weather,normal,hot,"Apply 1 layers (~3.0 ml) of matte_warm_beige foundation, 2 layer of nude, 2 layers of soft_blush blush.",0
images/406.jpg,Medium,sand,1,4.0,coral,3,soft_blush,2,black,3,natural_concealer,1,12 hrs,medium,1729,simple,normal,normal,"Apply 1 layers (~4.0 ml) of sand foundation, 3 layer of coral, 2 layers of soft_blush blush.",0
images/412.jpg,Medium,beige,3,2.0,coral,2,soft_blush,1,black,3,natural_concealer,1,8 hrs,low,1337,simple,normal,normal,"Apply 3 layers (~2.0 ml) of beige foundation, 2 layer of coral, 1 layers of soft_blush blush.",0
images/374.jpg,Medium,matte_sand,2,2.0,nude,1,soft_blush,1,black,1,natural_concealer,1,8 hrs,medium,1536,weather,normal,hot,"Apply 2 layers (~2.0 ml) of matte_sand foundation, 1 layer of nude, 1 layers of soft_blush blush.",0
images/599.jpg,Medium,sand,2,5.0,nude,2,soft_blush,2,black,2,natural_concealer,2,10 hrs,high,2392,simple,normal,normal,"Apply 2 layers (~5.0 ml) of sand foundation, 2 layer of nude, 2 layers of soft_blush blush.",0
images/228.jpg,Medium,beige,3,4.0,nude,3,soft_blush,1,black,3,natural_concealer,2,12 hrs,low,2378,weather,normal,cold,"Apply 3 layers (~4.0 ml) of beige foundation, 3 layer of nude, 1 layers of soft_blush blush.",0
images/214.jpg,Medium,sand,1,3.0,coral,3,soft_blush,1,black,2,natural_concealer,2,6 hrs,low,2249,occasion,bridal,normal,"Apply 1 layers (~3.0 ml) of sand foundation, 3 layer of coral, 1 layers of soft_blush blush.",0
images/572.jpg,Medium,sand,2,4.0,nude,1,soft_blush,1,black,1,natural_concealer,1,6 hrs,medium,1279,simple,normal,normal,"Apply 2 layers (~4.0 ml) of sand foundation, 1 layer of nude, 1 layers of soft_blush blush.",0
images/566.jpg,Medium,warm_beige,2,2.0,nude,2,soft_blush,1,black,3,natural_concealer,1,12 hrs,medium,546,weather,normal,humid,"Apply 2 layers (~2.0 ml) of warm_beige foundation, 2 layer of nude, 1 layers of soft_blush blush.",0
